AssociationsNumber,club_number,sub_club_number,club_name,service_name,hole,ghin_number,Date,Index,Tscores
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,06/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,05/15/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,05/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,04/15/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,04/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,03/15/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,03/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,02/15/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,02/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,01/15/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,01/01/2019,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,12/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,12/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,11/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,11/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,10/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,10/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,09/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,09/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,08/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,08/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,07/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,07/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,06/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,06/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,05/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,05/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,04/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,04/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,03/15/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,03/01/2018,14.7  ,0
11,016,11-0016-01,TERRACE PARK COUNTRY CLUB,MENS,18,2204936,02/15/2018,14.7  ,0
